Column1,Column2,Column3,Column4,Column5
1.999229279,30.11704457,-0.001352749,-0.02037825,0
1.352387543,-35.45731933,-0.909144555,-0.045476474,0
0.034954999,60.05705831,2.4096E-06,0.004140004,0
1.451168409,-34.75661967,-0.000895623,0.021450871,0
1.621426475,-38.79479998,0.000591542,-0.014153428,0
-2.535849566,30.12471509,-0.003816305,0.045335929,0
-0.797524726,-29.88686239,-1.301090601,0.075844738,0
2.93389339,-35.81510128,-0.002224395,0.027153997,0
-2.534488198,30.10854267,0.00130233,-0.015471075,0
-2.535546167,30.12111086,-0.004686831,0.055677379,0
-2.517113225,29.90213607,-0.0041436,0.049224044,0
0.017221179,29.52786427,2.76972E-05,0.047490267,0
-4.038939614,31.82345442,-0.694583676,-0.042350676,0
3.584183954,31.10137182,-0.002327108,-0.02019323,0
0.029001467,-29.89158895,1.24384E-05,-0.012820205,0
-0.046172381,151.034153,-2.474111666,-0.123144033,0
-11.03887674,89.1254475,0.000979982,-0.007912159,0
5.363134996,-34.38087684,-0.000810452,0.005195478,0
0.017580771,30.20596205,-7.55063E-05,-0.1297292,0
-2.305480773,27.38616485,0.003061073,-0.036361634,0
0.029024604,-29.91543649,-7.56695E-05,0.077991991,0
-3.714325281,29.9959064,-0.00179153,0.014467923,0
-3.222488761,38.27904768,0.002283615,-0.027126433,0
2.442994975,-29.82252619,0.000625148,-0.007631406,0
1.724103159,30.21858286,-0.830768191,-0.130970637,0
0.029101395,-29.9945841,1.19896E-05,-0.012357575,0
-3.683889904,29.75011837,0.005886362,-0.0475367,0
-146.8942715,-120.6220765,0.003480327,0.052428783,0
-1.28918841,29.99336301,-0.001125159,0.026177159,0
0.018827341,32.31477776,-3.85867E-05,-0.066229269,1
-4.69820702,29.84161951,-0.003325952,0.021125464,0
59.95556147,208.902904,-1.46555759,-0.020587178,0
5.468446729,-35.05598753,-0.003224732,0.020672444,0
0.936854033,30.04939144,-1.156852073,0.035968483,0
2.531698215,-35.25315566,-1.417883365,0.00254358,0
2.050831353,30.91096493,-0.007452998,-0.112334621,0
2.897569022,-35.37167653,0.006284503,-0.076717203,0
