省属,府直隶州,州县,清真寺名称,,,,,
吉林,阿勒楚喀副都统,,五常清真寺,,,,,
吉林,阿勒楚喀副都统,,阿城清真寺,,,,,
吉林,阿勒楚喀副都统,,哈尔滨道外区原东寺,,,,,
吉林,双城府,,双城清真寺,,,,,
吉林,临江府,,富锦清真寺,,,,,
吉林,桦川县,,桦川清真寺,,,,,
吉林,阿勒楚喀副都统,,鞑靼清真寺,,,,,
吉林,阿勒楚喀副都统,,香坊清真寺,,,,,
吉林,长春府,,清真寺,,,,,
吉林,长春府,,小合隆村清真寺,,,,,
吉林,长春府,,清真寺,,,,,
吉林,长春府,,清真寺,,,,,
吉林,长春府,,清真寺,,,,,
吉林,长春府,,清真寺,,,,,
吉林,长春府,,清真寺,,,,,
吉林,吉林府双阳县,双阳县,清真寺,,,,,
吉林,新城府榆树县,榆树县,清真寺,,,,,
吉林,新城府榆树县,榆树县,牛头山清真寺,,,,,
吉林,新城府榆树县,榆树县,清真寺,,,,,
吉林,吉林将军属柳条边新边下九台,,清真寺,,,,,
吉林,吉林将军属柳条边新边下九台,,清真寺,,,,,
吉林,吉林将军属柳条边新边下九台,,清真寺,,,,,
吉林,吉林将军属柳条边新边下九台,,东前央清真寺,,,,,
吉林,吉林将军属柳条边新边下九台,,清真寺,,,,,
吉林,吉林将军属柳条边新边下九台,,清真寺,,,,,
吉林,吉林将军属柳条边新边下九台,,清真寺,,,,,
吉林,吉林将军属柳条边新边下九台,,清真寺,,,,,
吉林,吉林府,,北寺,,,,,
吉林,吉林府,,东寺,,,,,
吉林,吉林府,,西寺,,,,,
吉林,吉林府,,拱北寺,,,,,
吉林,吉林府,,清真寺,,,,,
吉林,吉林府,,清真寺,,,,,
吉林,吉林府,,清真寺,,,,,
吉林,吉林府,,清真寺,,,,,
吉林,吉林府,,清真寺,,,,,
吉林,吉林府,伊通州梨树县,清真寺,,,,,
吉林,吉林府,伊通州,伊通县清真寺,,,,,
吉林,吉林府,伊通州,清真寺,,,,,
吉林,吉林府,伊通州,清真寺,,,,,
